,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1982,274.61,246.28,267.53,282.59,208.97,144.27,104.01,91.89,97.68,132.87,169.86,261.07
1983,265.67,212.51,236.29,243.28,282.38,184.22,179.5,162.65,166.42,240.88,267.41,281.7
1984,305.9,305.21,313.29,298.83,299.48,180.2,226.15,165.34,227.19,200.48,229.11,291.15
1985,250.78,250.38,275.89,268.92,249.52,192.57,184.47,161.58,195.41,231.97,257.85,286.23
1986,314.12,222.76,337.22,301.55,186.88,202.72,183.15,155.79,187.65,229.15,254.4,236.6
1987,304.15,204.32,264.4,243.74,218.05,150.74,137.7,165.89,139.94,157.21,229.51,296.83
1988,310.28,254.64,335.27,228.02,238.82,183.08,174.58,236.01,207.14,233.9,271.41,277.9
1989,303.75,259.56,270.71,250.71,261.16,186.05,205.42,195.01,199.31,233.44,237.17,275.45
1990,328.79,246.64,231.72,245.19,206.91,178.4,182.71,148.94,152.07,209.52,190.19,289.01
1991,286.8,229.12,290.94,285.68,204.02,127.84,132.03,120.57,110.28,143.96,237.51,302.36
1992,244.98,236.29,256.16,282.12,235.78,154.94,170.45,164.03,177.24,233.71,223.58,299.84
1993,272.23,203.92,267.9,278.3,247.87,173.76,155.04,138.84,138.56,183.35,239.91,283.64
1994,280.86,248.97,353.5,275.38,210.92,171.91,101.5,147.08,98.68,156.79,214.11,285.47
1995,319.94,302.33,305.07,289.38,210.51,187.13,174.85,180.1,177.22,216.55,282.46,291.29
1996,266.37,292.71,243.26,277.7,200.17,178.83,147.32,214.96,183.55,279.66,257.35,294.37
1997,233.84,263.99,243.84,248.25,201.6,118.32,146.56,109,113,143.26,192.27,261.05
1998,232.62,218.1,266.58,244.75,236.1,214.69,207.71,226.29,217.09,254.44,273.21,286.1
1999,316.64,276.22,296.55,263.42,225.09,185.07,189,166.25,169.83,269.4,266.32,292.31
2000,302.68,254.73,289.32,277.43,226.03,219.54,173.91,179.47,173.92,253,306.62,278.44
2001,333.08,257.36,308.46,296.3,181.37,193.97,141.34,142.89,190.34,281.12,266.43,284.36
2002,290.79,227.25,285.06,260.32,203.28,172.07,152.44,137.32,156.89,157.92,252.19,301.08
2003,299.59,285.96,307.58,288.21,203.54,156.37,160.2,183.65,179.41,256.81,254.87,313.85
2004,307.04,240.64,295.74,248.16,229.9,142.13,176.7,104.68,165.46,179.23,250.17,298.93
2005,265.54,223.98,282.06,264.24,232.96,169.1,172.37,157.94,157.37,254.87,262.73,300.12
2006,286.34,299.64,309.36,286.21,221.61,216.59,131.32,134.49,145.31,132.61,182.07,306.06
2007,294.46,273.8,285.02,300.7,254.21,220.49,196.82,164.43,153.5,196.43,228.18,301.05
2008,248.16,266.51,321.08,296.81,197.53,222.37,187.82,214.81,186.87,254.03,294.45,322.32
2009,307.88,263.75,333.7,276.8,210.06,158.01,155.05,165.27,148.37,200.03,252.98,303.59
2010,291.03,234.8,329.9,311.54,294.01,246.39,222.65,235.89,300.65,256.63,288.09,277.79
2011,294.81,254.11,303.24,292.71,245.08,208.51,160.26,153.11,157.56,240.84,271.15,327.6
2012,276.1,281.84,332.41,282.31,258.17,165.02,164.07,158.59,165.82,207.29,284.63,290.62
2013,284.18,307.66,274.08,271.03,254.39,179.68,176.88,172.6,177.77,198.4,280.02,331.44
2014,272.82,173.98,227.66,283.23,220.75,188.07,161.47,185.47,158.3,157.51,239.88,332.17
2015,284.28,260,257.77,274.37,201.54,189.77,126,127.51,105.3,133.76,234.74,287.15
2016,255.41,289.54,285.03,260.43,249.11,201.86,198.48,176.99,224.87,234.82,275.23,295.74
2017,297.03,268.55,291.13,293.17,255.25,190.03,188.91,185.4,195.74,232.65,320.87,298.46
2018,276.44,264.34,306.73,266.2,245.44,191.11,191.39,141.44,141,203.03,283.85,312.98
2019,269.13,240.54,283.92,265.69,210.61,228.49,141.49,110.85,112.97,189.66,174.64,284.99
2020,257.15,250.76,284.09,317.46,249.95,214.01,213.7,164.01,218.6,248.04,307.58,274.47
2021,317.76,247.28,314.94,250.79,249.75,207.73,177.41,230.5,241.36,235.04,305.74,309.41
