,placeId,lokasi,provinsi,city,timezone,latitude,longitude,hari,prediksi_hujan,temperatureMin,temperatureMax,waktu,timestamp,kondisi_siang,kondisi_malam
33,abf842b4b7f51e76e53bdd2c76cd32452ac40be6480273281bf49cf55cccb0fb,"Aceh Barat, Aceh, Indonesia",Aceh,Aceh Barat,Asia/Jakarta,4.215,96.137,Sabtu,0.25,21.0,28,2023-01-21T07:00:00+0700,2023-01-21 00:00:00,Hujan Ringan,Berawan
34,abf842b4b7f51e76e53bdd2c76cd32452ac40be6480273281bf49cf55cccb0fb,"Aceh Barat, Aceh, Indonesia",Aceh,Aceh Barat,Asia/Jakarta,4.215,96.137,Jumat,0.51,22.0,31,2023-01-20T07:00:00+0700,2023-01-20 00:00:00,Sebagian Besar Berawan,Hujan Curah Larut Malam
35,abf842b4b7f51e76e53bdd2c76cd32452ac40be6480273281bf49cf55cccb0fb,"Aceh Barat, Aceh, Indonesia",Aceh,Aceh Barat,Asia/Jakarta,4.215,96.137,Kamis,0.0,21.0,31,2023-01-19T07:00:00+0700,2023-01-19 00:00:00,Sebagian Berawan,Sebagian Besar Berawan
36,abf842b4b7f51e76e53bdd2c76cd32452ac40be6480273281bf49cf55cccb0fb,"Aceh Barat, Aceh, Indonesia",Aceh,Aceh Barat,Asia/Jakarta,4.215,96.137,Rabu,0.0,21.0,31,2023-01-18T07:00:00+0700,2023-01-18 00:00:00,Sebagian Berawan,Sebagian Besar Berawan
37,abf842b4b7f51e76e53bdd2c76cd32452ac40be6480273281bf49cf55cccb0fb,"Aceh Barat, Aceh, Indonesia",Aceh,Aceh Barat,Asia/Jakarta,4.215,96.137,Selasa,0.0,20.0,30,2023-01-17T07:00:00+0700,2023-01-17 00:00:00,Berawan,Sebagian Besar Berawan
38,abf842b4b7f51e76e53bdd2c76cd32452ac40be6480273281bf49cf55cccb0fb,"Aceh Barat, Aceh, Indonesia",Aceh,Aceh Barat,Asia/Jakarta,4.215,96.137,Senin,1.27,21.0,31,2023-01-16T07:00:00+0700,2023-01-16 00:00:00,Hujan Ringan Petang,Hujan Ringan Pagi Buta
39,abf842b4b7f51e76e53bdd2c76cd32452ac40be6480273281bf49cf55cccb0fb,"Aceh Barat, Aceh, Indonesia",Aceh,Aceh Barat,Asia/Jakarta,4.215,96.137,Minggu,0.0,22.0,30,2023-01-15T07:00:00+0700,2023-01-15 00:00:00,Hujan Ringan Petang,Berawan
40,abf842b4b7f51e76e53bdd2c76cd32452ac40be6480273281bf49cf55cccb0fb,"Aceh Barat, Aceh, Indonesia",Aceh,Aceh Barat,Asia/Jakarta,4.215,96.137,Sabtu,0.0,22.0,31,2023-01-14T07:00:00+0700,2023-01-14 00:00:00,Sebagian Besar Berawan,Hujan Ringan Pagi Buta
41,abf842b4b7f51e76e53bdd2c76cd32452ac40be6480273281bf49cf55cccb0fb,"Aceh Barat, Aceh, Indonesia",Aceh,Aceh Barat,Asia/Jakarta,4.215,96.137,Jumat,0.0,22.0,31,2023-01-13T07:00:00+0700,2023-01-13 00:00:00,Hujan Curah Petang,Sebagian Besar Berawan
42,abf842b4b7f51e76e53bdd2c76cd32452ac40be6480273281bf49cf55cccb0fb,"Aceh Barat, Aceh, Indonesia",Aceh,Aceh Barat,Asia/Jakarta,4.215,96.137,Kamis,0.0,22.0,31,2023-01-12T07:00:00+0700,2023-01-12 00:00:00,Sebagian Berawan,Sebagian Besar Berawan
