,Indonesia,Nangroe Aceh Darussalam,Bali,Bengkulu,Daerah Istimewa Yogyakarta,Dki Jakarta,Jambi,Jawa Tengah,Jawa Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Lampung,Nusatenggara Barat,Nusatenggara Timur,Sulawesi Tengah,Sulawesi Tenggara,Sumatera Barat,Sumatera Utara,Bangka Belitung,Banten,Gorontalo,Papua Barat,Jawa Barat,Kepulauan-riau,Maluku,Maluku Utara,Papua,Riau,Sulawesi Barat,Sulawesi Selatan,Sulawesi Utara,Sumatera Selatan
1950,2843.57,2499.74,2976.37,2741.67,2281.31,2313.4,2821.22,2881.98,2395.22,3392.1,2642.56,2962.02,2695.21,2445.7,2167.77,1997.04,1799.04,2058.91,2876.75,2628.05,2778.62,3070,2481.88,3208.2,3130.09,2861.85,2289.6,2229.22,3329.46,2657.76,2902.82,2785.74,3173.19,2728.34
1951,2649.46,2469.48,1855.37,2630.3,1994.15,2229.1,2653.24,2573.12,1838.64,3142.71,2546.16,2754.5,2643.63,2300.88,1474.85,1173.07,1725.74,1665.13,2774.27,2872.52,2552.34,2876.55,1989.33,3044.39,2623.04,2668.59,1952.01,2011.78,3274.95,2605.27,2381.7,2002.1,2191.24,2465.45
1952,2929.06,2792.22,2333.24,2863.5,2479.61,2446.2,2945.89,3021.5,2302.99,3392.78,2738.57,2981.71,2995.58,2628.73,1750.6,1692.35,1961.94,2668.45,3097.9,2917.47,2703.07,3333.7,2194.73,3194.78,3268.47,3020.63,2471.1,2314.49,3309.94,2824.12,2902.63,2951.49,2637.54,2787.58
1953,2772.45,2532.52,1701.7,3110.96,1960.1,1664.7,3321.58,2266.73,1921.88,3422.22,2515.53,2898.87,2681.7,1947.62,1549.01,1326.08,1809.65,2029.7,3097.35,2824.92,2687.33,2140.12,2137.11,2921.24,2331.95,2614.05,2256.33,2298.99,3331.75,2700.91,2681.87,2475.06,2441.97,2985.26
1954,3078.65,2571.7,2966.8,3058.39,2644.39,2280,3155.06,3309.44,2648.26,3786.23,3032.33,3424.18,3009.73,2514.75,2028.77,2182.4,2004.35,2831.86,2998.84,2796.96,2931.37,3192.86,2267.41,3162.37,3294.62,3010.42,3107.2,2752.79,3388.03,2784.68,3057.1,3176.84,2629.28,2983.8
1955,3104.58,2406.76,3306.72,3153.07,2792.98,2768.5,3145.46,3496.83,2731.88,3498.38,3222.37,3393.45,3117.67,2988.99,2313.26,2510.33,2086.91,3391.73,2951.46,2628.69,2923.7,3752.55,2329.43,3259.96,3739.64,2720.33,2900.04,2346.45,3380.79,2550.39,3153.12,3484.69,2847.54,3112.56
1956,2909.9,2717.98,2575.27,2776.08,2363.23,2547.6,2744.14,2981.87,2179.21,3150.09,2704.48,3058.44,2891.09,2551.57,2027.59,2232.8,1953.79,2726.92,2645.93,2708.11,2758.67,3288.31,2540.91,3360.31,3218.95,2815.69,3257.69,2772.78,3295.02,2539.02,2962.22,3198.33,3204.62,2724.42
1957,2638.31,2513.93,2262.55,2696.82,1832.28,1860.9,2707.22,2469.91,1969.68,3089.98,2371.78,2714.92,2510.14,2176.11,1772.35,1782.32,1868.31,2101.55,2793.46,2677.3,2439.05,2514.33,1987.53,2765.44,2633.47,2643.22,2298.06,2227.25,3210.89,2447.79,2568.79,2570.05,2185.59,2471.3
1958,2800.55,2349.77,2300.21,2626.93,2804.42,2616.9,2657.44,3561.26,2437.03,3508.21,2718.43,3204.83,2465.77,2579.4,1814.44,1720.95,1809.54,2196.14,2627.06,2390.92,2604.43,3555.88,1967.69,3040.29,3590.68,2534.17,2502.32,2372.3,3287.89,2399.25,2705.42,2757.92,2104.46,2549.64
1959,2786.07,2313.24,2291.34,2641.07,2471.95,2114,2702.13,2875.17,2275.19,3395.49,2440.1,2936.71,2586.34,2321.23,1859.23,2264.74,1838.43,2410.39,2730.51,2809.65,2765.52,2776.27,2002.53,2976.11,2774.15,2873.53,2445.18,2201.8,3344.29,2528.57,2749.37,2900.44,2223.77,2612.78
